Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider SSA County Code,Provider County Name,Ownership Type,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Provider Resides in Hospital,Legal Business Name,Date First Approved to Provide Medicare and Medicaid services,Continuing Care Retirement Community,Special Focus Facility,Most Recent Health Inspection More Than 2 Years Ago,Provider Changed Ownership in Last 12 Months,With a Resident and Family Council,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Overall Rating Footnote,Health Inspection Rating,Health Inspection Rating Footnote,QM Rating,QM Rating Footnote,Long-Stay QM Rating,Long-Stay QM Rating Footnote,Short-Stay QM Rating,Short-Stay QM Rating Footnote,Staffing Rating,Staffing Rating Footnote,RN Staffing Rating,RN Staffing Rating Footnote,Reported Staffing Footnote,Physical Therapist Staffing Footnote,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Case-Mix Nurse Aide Staffing Hours per Resident per Day,Case-Mix LPN Staffing Hours per Resident per Day,Case-Mix RN Staffing Hours per Resident per Day,Case-Mix Total Nurse Staffing Hours per Resident per Day,Adjusted Nurse Aide Staffing Hours per Resident per Day,Adjusted LPN Staffing Hours per Resident per Day,Adjusted RN Staffing Hours per Resident per Day,Adjusted Total Nurse Staffing Hours per Resident per Day,Rating Cycle 1 Standard Survey Health Date,Rating Cycle 1 Total Number of Health Deficiencies,Rating Cycle 1 Number of Standard Health Deficiencies,Rating Cycle 1 Number of Complaint Health Deficiencies,Rating Cycle 1 Health Deficiency Score,Rating Cycle 1 Number of Health Revisits,Rating Cycle 1 Health Revisit Score,Rating Cycle 1 Total Health Score,Rating Cycle 2 Standard Health Survey Date,Rating Cycle 2 Total Number of Health Deficiencies,Rating Cycle 2 Number of Standard Health Deficiencies,Rating Cycle 2 Number of Complaint Health Deficiencies,Rating Cycle 2 Health Deficiency Score,Rating Cycle 2 Number of Health Revisits,Rating Cycle 2 Health Revisit Score,Rating Cycle 2 Total Health Score,Rating Cycle 3 Standard Health Survey Date,Rating Cycle 3 Total Number of Health Deficiencies,Rating Cycle 3 Number of Standard Health Deficiencies,Rating Cycle 3 Number of Complaint Health Deficiencies,Rating Cycle 3 Number of Health Revisits,Rating Cycle 3 Health Deficiency Score,Rating Cycle 3 Health Revisit Score,Rating Cycle 3 Total Health Score,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date,RPT_REC_NUM,inpatient_days,rn_hours,rn_hr_per_day,lpn_hours,lpn_hr_day,asst_hours,asst_hr_per_day,NPI_rn,total_hours_per_day,tot_hours,CMS_RN_rank,CMS_LPN_rank,CMS_aide_rank,CMS_tot_rank,CMS_RN_rankpct,CMS_LPN_rankpct,CMS_aide_rankpct,CMS_tot_rankpct,Latlong,lat,long,Percent with fall,Percent restrained,Percent_antianxiety,Percent_antipsychotic,Percent with psych meds,Fall_Rank,Restrained_rank,Psych_meds_rank
315002,CARE ONE AT SOMERSET VALLEY,1621 ROUTE 22 WEST,BOUND BROOK,NJ,8805,7324692000,350,Somerset,For profit - Corporation,64,49.4,Medicare,False,"1621 ROUTE 22 WEST OPERATING COMPANY, LLC",01/01/1967,False,False,False,False,Resident,Yes,5.0,,4.0,,5.0,,,2.0,5.0,,4.0,,4.0,,,,2.09047,1.07121,1.44818,2.51939,4.60986,0.4344,2.33076,1.07368,0.5903,3.99475,1.86722,0.7487,0.9191,3.70073,09/07/2018,1.0,1.0,0.0,4.0,1.0,0.0,4.0,05/19/2017,5,5,0.0,20.0,1.0,0.0,20.0,2016-06-30,0,0,0,0,0,0,0,8.667,0,0,0,0.0,0,0,"1621 ROUTE BOUND BROOK, NJ 08805",06/01/2019,1202175,19966.0,31474.0,1.57637984574,15990.0,0.80086146449,49501.0,2.47926475008,315002,4.8565060603,96965.0,23.0,221.0,115.0,55.0,0.0676470588235,0.65,0.338235294118,0.161764705882,0,,,0.0,0.0,,0.0,,14.0,140.0,
315008,LAUREL MANOR HEALTHCARE AND REHABILITATION CENTER,18 W LAUREL ROAD,STRATFORD,NJ,8084,8567842400,160,Camden,For profit - Partnership,104,88.2,Medicare and Medicaid,False,LAUREL HEALTHCARE LLC,01/01/1969,False,False,False,False,Resident,Yes,3.0,,3.0,,5.0,,5.0,,5.0,,1.0,12.0,1.0,12.0,6.0,6.0,,,,,,,,,,,,,,,02/25/2019,1.0,1.0,0.0,8.0,1.0,0.0,8.0,01/03/2018,4,4,0.0,24.0,1.0,0.0,24.0,2016-12-22,9,9,0,56,1,0,56,21.333,0,0,1,3250.0,0,1,"18 W LAUREL ROAD STRATFORD, NJ 08084",06/01/2019,1202176,31286.0,11412.0,0.364763792111,33106.0,1.05817298472,61146.0,1.95442050758,315008,3.37735728441,105664.0,297.0,93.0,293.0,285.0,0.873529411765,0.273529411765,0.861764705882,0.838235294118,0,,,0.343642,0.0,16.296299,11.284047,27.580346,31.0,140.0,190.0
315015,MADISON CENTER,625 STATE HIGHWAY 34,MATAWAN,NJ,7747,7325666400,290,Monmouth,For profit - Corporation,183,126.8,Medicare and Medicaid,False,625 STATE HIGHWAY 34 OPERATIONS LLC,01/01/1967,False,False,False,False,Resident,Yes,2.0,,1.0,,5.0,,5.0,,5.0,,4.0,,4.0,,,,1.92392,0.78926,0.77029,1.55955,3.48347,0.04565,1.96687,0.69995,0.33886,3.00567,2.03639,0.84619,0.85163,3.71672,04/05/2019,10.0,9.0,1.0,123.0,1.0,0.0,123.0,03/06/2018,7,4,3.0,52.0,1.0,0.0,52.0,2016-12-22,8,8,0,111,1,0,111,97.333,0,11,2,20777.0,0,2,"625 STATE HIGHWAY MATAWAN, NJ 07747",06/01/2019,1194398,51628.0,51252.51,0.9927270086,47216.08,0.914544045867,109288.75,2.11685035252,315015,4.02412140699,207757.34,90.0,161.0,249.0,158.0,0.264705882353,0.473529411765,0.732352941176,0.464705882353,0,,,2.460849,0.0,24.065422,12.732096,36.797518,191.0,140.0,282.0
315057,MERRY HEART NURSING HOME,200 RT 10 WEST,SUCCASUNNA,NJ,7876,9735844000,300,Morris,For profit - Partnership,113,98.6,Medicare and Medicaid,False,MERRY HEART NURSING & CONV CENT,01/19/1967,False,False,False,False,Resident,Yes,5.0,,4.0,,5.0,,5.0,,5.0,,4.0,,4.0,,,,2.65544,0.83023,0.9324,1.76263,4.41807,0.22188,2.29665,0.76329,0.37838,3.43833,2.40709,0.81625,0.92318,4.12074,11/05/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,07/26/2017,2,2,0.0,24.0,1.0,0.0,24.0,2016-06-30,0,0,0,0,0,0,0,8.0,0,0,2,13528.0,0,2,"200 RT SUCCASUNNA, NJ 07876",06/01/2019,1193850,36263.0,40753.0,1.12381766539,25880.0,0.713675095828,100653.0,2.77563908116,315057,4.61313184237,167286.0,65.0,255.0,59.0,64.0,0.191176470588,0.75,0.173529411765,0.188235294118,0,,,6.153846,0.0,16.872428,9.836067,26.708495,344.0,140.0,179.0
315087,CARE ONE AT KING JAMES,1040 ROUTE 36,ATLANTIC HIGHLANDS,NJ,7716,7322913400,290,Monmouth,For profit - Corporation,127,103.5,Medicare and Medicaid,False,"KING JAMES CARE CENTER OF MIDDLETOWN, LLC",06/11/1968,False,False,False,False,Resident,Yes,4.0,,4.0,,3.0,,2.0,,4.0,,3.0,,3.0,,,,2.11353,1.01223,0.64361,1.65584,3.76937,0.14907,2.19691,0.79851,0.38437,3.37978,2.00284,0.95129,0.62732,3.57659,04/24/2018,2.0,2.0,0.0,12.0,1.0,0.0,12.0,02/02/2017,3,3,0.0,12.0,1.0,0.0,12.0,2016-01-27,5,5,0,20,1,0,20,13.333,0,0,0,0.0,0,0,"1040 ROUTE ATLANTIC HIGHLANDS, NJ 07716",06/01/2019,1194399,31197.0,19841.0,0.635990640126,31752.0,1.01779017213,82655.0,2.64945347309,315087,4.30323428535,134248.0,191.0,115.0,77.0,107.0,0.561764705882,0.338235294118,0.226470588235,0.314705882353,0,,,2.713178,0.0,25.35211,10.358567,35.710677,217.0,140.0,270.0
315092,CARE ONE AT HOLMDEL,188 HIGHWAY 34,HOLMDEL,NJ,7733,7329464200,290,Monmouth,For profit - Corporation,130,110.7,Medicare and Medicaid,False,HCC LLC,10/04/1968,False,False,False,False,Resident,Yes,5.0,,4.0,,5.0,,5.0,,5.0,,3.0,,3.0,,,,1.97234,0.8703,0.84006,1.71036,3.6827,0.20812,2.16689,0.8822,0.46351,3.5126,1.89494,0.74031,0.67899,3.36223,11/09/2018,4.0,4.0,0.0,16.0,1.0,0.0,16.0,09/07/2017,2,2,0.0,8.0,1.0,0.0,8.0,2016-09-28,2,2,0,12,1,0,12,12.667,0,0,0,0.0,0,0,"188 HIGHWAY HOLMDEL, NJ 07733",06/01/2019,1202190,38295.0,29451.0,0.769056012534,37675.0,0.983809896853,80126.0,2.09233581407,315092,3.84520172346,147252.0,157.0,125.0,254.0,193.0,0.461764705882,0.367647058824,0.747058823529,0.567647058824,0,,,0.938967,0.0,16.374269,9.547738,25.922007,61.0,140.0,168.0
315111,ARCADIA NURSING AND REHAB,1501 STATE HWY 33,HAMILTON SQUARE,NJ,8690,6095861114,260,Mercer,Non profit - Corporation,126,99.5,Medicare and Medicaid,False,Legal Business Name Not Available,10/14/1969,False,False,False,False,Resident,Yes,2.0,,1.0,,5.0,,5.0,,5.0,,3.0,,3.0,,,,1.76147,0.9603,0.57238,1.53268,3.29415,0.10267,1.98171,0.69304,0.32301,2.99776,1.85049,1.03982,0.66387,3.524,09/28/2018,7.0,6.0,1.0,32.0,0.0,0.0,32.0,06/12/2017,14,14,0.0,88.0,1.0,0.0,88.0,2016-04-14,5,5,0,28,1,0,28,50.0,0,3,1,8125.0,0,1,"1501 STATE HWY HAMILTON SQUARE, NJ 08690",06/01/2019,1202195,38277.0,20378.0,0.532382370614,40443.0,1.05658750686,79396.0,2.07424824307,315111,3.66321812054,140217.0,234.0,97.0,261.0,238.0,0.688235294118,0.285294117647,0.767647058824,0.7,0,,,5.307262,0.558661,16.463411,8.408408,24.871819,333.0,308.0,154.0
315134,COMPLETE CARE AT GREEN KNOLL,875 ROUTE 202-206 NORTH,BRIDGEWATER,NJ,8807,9085268600,350,Somerset,For profit - Limited Liability company,176,112.7,Medicare and Medicaid,False,Legal Business Name Not Available,02/20/1972,False,False,False,False,Resident,Yes,3.0,,2.0,,5.0,,5.0,,5.0,,3.0,,3.0,,,,1.91544,1.01689,0.45493,1.47182,3.38727,0.04299,1.92167,0.63689,0.28407,2.84263,2.07511,1.19817,0.59998,3.82136,03/13/2019,7.0,7.0,0.0,32.0,1.0,0.0,32.0,01/17/2018,2,2,0.0,8.0,1.0,0.0,8.0,2016-11-23,9,9,0,32,1,0,32,24.0,0,0,0,0.0,0,0,"875 ROUTE BRIDGEWATER, NJ 08807",06/01/2019,1194725,44426.0,32935.13,0.741348084455,40960.12,0.921985323909,99736.96,2.24501328051,315134,3.90834668888,173632.21,167.0,159.0,194.0,180.0,0.491176470588,0.467647058824,0.570588235294,0.529411764706,0,,,0.0,0.0,9.043929,11.029413,20.073342,14.0,140.0,97.0
315140,REHAB AT RIVER'S EDGE,633 ROUTE 28,RARITAN,NJ,8869,9085268950,350,Somerset,For profit - Corporation,138,123.3,Medicare and Medicaid,False,RRE OPERATING LLC,10/15/1972,False,False,False,False,Resident,Yes,1.0,,2.0,,4.0,,4.0,,5.0,,1.0,12.0,1.0,12.0,,,1.65291,0.71359,0.41384,1.12743,2.78034,0.076,2.01351,0.67903,0.31414,3.00667,1.70902,0.78863,0.49356,2.96553,10/05/2018,3.0,3.0,0.0,8.0,1.0,0.0,8.0,06/22/2017,9,7,2.0,48.0,2.0,24.0,72.0,2016-08-15,4,4,0,16,1,0,16,30.667,0,8,1,20505.0,0,1,"633 ROUTE RARITAN, NJ 08869",06/01/2019,1202206,46140.0,26911.0,0.583246640659,42849.0,0.928673602081,114963.0,2.49161248375,315140,4.00353272648,184723.0,212.0,156.0,111.0,162.0,0.623529411765,0.458823529412,0.326470588235,0.476470588235,0,,,2.55814,0.0,16.786569,11.716623,28.503192,203.0,140.0,198.0
315144,MEDFORD LEAS,ONE MEDFORD LEAS WAY,MEDFORD,NJ,8055,6096543000,150,Burlington,Non profit - Corporation,24,15.3,Medicare,False,THE ESTAUGH T/A MEDFORD LEAS,04/01/1973,True,False,False,False,Both,Yes,5.0,,4.0,,5.0,,,2.0,5.0,,5.0,,5.0,,,,4.00073,1.36359,2.96006,4.32365,8.32438,0.82544,2.14271,0.93263,0.48175,3.55709,3.8871,1.09721,2.30194,7.50493,09/20/2018,3.0,3.0,0.0,8.0,1.0,0.0,8.0,06/09/2017,0,0,0.0,0.0,0.0,0.0,0.0,2016-07-08,2,2,0,20,1,0,20,7.333,0,0,0,0.0,0,0,"ONE MEDFORD LEAS WAY MEDFORD, NJ 08055",06/01/2019,1212214,5211.0,18663.0,3.58146229131,7932.0,1.5221646517,27243.0,5.22797927461,315144,10.3316062176,53838.0,3.0,17.0,4.0,5.0,0.00882352941176,0.05,0.0117647058824,0.0147058823529,0,,,,,,,,,,
